Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
antaranews,https://www.antaranews.com/berita/943420/pemprov-jabar-percepat-pembangunan-amphitheater-geopark-ciletuh,0.66,0.92,0.66,0.79,1
antaranews,https://jabar.antaranews.com/berita/108176/pengembangan-geopark-ciletuh-sukabumi-butuh-bantuan-pemerintah-provinsi-dan-pusat,0.71,0.82,0.26,0,1
antaranews,https://www.antaranews.com/video/1301262/membiasakan-para-siswa-di-sekitar-geopark-ciletuh-untuk-meminimalisasi-sampah-plastik,0.66,0.79,0.71,0,1
antaranews,https://www.antaranews.com/berita/1301114/akses-ke-geopark-ciletuh-palabuhan-ratu-dikepung-banjir-dan-longsor,0.72,0.89,0.66,0.84,1
antaranews,https://www.antaranews.com/video/1263389/kampanye-antisampah-plastik-untuk-menjaga-keasrian-geopark-ciletuh,0.66,0.77,0,0.32,1
antaranews,https://www.antaranews.com/berita/1236895/kampanye-anti-sampah-perum-jamkrindo-di-geopark-ciletuh-diapresiasi,0.66,0.85,0.66,0.83,1
antaranews,https://www.antaranews.com/berita/1209759/perum-jamkrindo-tanam-ratusan-pohon-di-kawasan-geopark-ciletuh,0.73,0.89,0.72,0.79,1
antaranews,https://www.antaranews.com/video/1031836/surga-wisata-geopark-ciletuh-palabuhan-ratu,0.75,0.84,0.53,0.53,1
antaranews,https://www.antaranews.com/berita/974132/pelaku-usaha-geopark-ciletuh-sukabumi-dapat-pelatihan-keuangan,0.71,0.85,0.71,0.79,1
antaranews,https://www.antaranews.com/berita/943420/pemprov-jabar-percepat-pembangunan-amphitheater-geopark-ciletuh,0.66,0.92,0.66,0.79,1
antaranews,https://ramadhan.antaranews.com/berita/900853/minibus-bak-terbuka-terjun-ke-jurang-di-jalur-menuju-geopark-ciletuh,0.66,0.8,0,0,1
antaranews,https://www.antaranews.com/video/776375/geopark-ciletuh-surganya-olah-raga-selancar,0.66,0.81,0.38,0.6,1
antaranews,https://www.antaranews.com/berita/776237/pakar-geopark-ciletuh-rawan-gempa-dan-tsunami,0.66,0.85,0.71,0.87,1
antaranews,https://www.antaranews.com/video/758490/festival-geopark-ciletuh-untuk-sukabumi-yang-kian-menarik,0.71,0.75,0.79,0.71,1
antaranews,https://www.antaranews.com/berita/723087/seperempat-juta-lebih-turis-tumplek-di-geopark-ciletuh,0.66,0.92,0.71,0.79,1
antaranews,https://www.antaranews.com/foto/719853/wisata-geopark-ciletuh-palabuhan-ratu,0.75,0.85,0.22,0,1
antaranews,https://www.antaranews.com/berita/715991/jabar-harus-pertahankan-ciletuh-pelabuhanratu-geopark-dunia,0.72,0.98,0.72,0.83,1
antaranews,https://www.antaranews.com/berita/715656/jabar-berkomitmen-pertahankan-ciletuh-sebagai-geopark-dunia,0.66,0.94,0.6,0.66,1
antaranews,https://www.antaranews.com/foto/715643/penetapan-geopark-ciletuh-pelabuhanratu,0.72,0.8,0.22,0,1
antaranews,https://www.antaranews.com/berita/1101124/vokasi-ui-berdayakan-masyarakat-di-geopark-gunung-pongkor,0.53,0.68,0,0.58,1
antaranews,https://www.antaranews.com/berita/986164/jokowi-dorong-taman-bumi-kaldera-toba-diakui-unesco,0.39,0.83,0,0,1
antaranews,https://www.antaranews.com/berita/1050906/taman-bumi-gunungsewu-pertahankan-keanggotaan-di-unesco-global-geopark,0.66,0.76,0.53,0.84,1
antaranews,https://www.antaranews.com/berita/1197308/pemkab-bogor-undang-menteri-dan-13-kepala-daerah-bahas-perbatasan,0,0.77,0,0.44,1
antaranews,https://www.antaranews.com/berita/815290/antam-kembangkan-taman-buah-nusantara-di-bogor,0.27,0.84,0.36,0.36,1
antaranews,https://www.antaranews.com/berita/801240/dikembangkan-36-titik-geopark-di-meratus,0.53,0.84,0,0,1
beritasatu,https://www.beritasatu.com/nasional/600589/akses-ke-geopark-ciletuh-di-sukabumi-dikepung-banjir-dan-longsor,0.75,0.89,0.71,0.76,1
beritasatu,https://www.beritasatu.com/nasional/571481/sekda-sukabumi-pengembangan-geopark-ciletuh-butuh-bantuan-pusat,0.75,0.82,0.71,0.71,1
beritasatu,https://www.beritasatu.com/mobil/536582/menjajal-keandalan-xenia-1500-cc-di-tanjakan-ekstrem-geopark-ciletuh,0.66,0.85,0.66,0.71,1
beritasatu,https://www.beritasatu.com/nasional/499088/300000-turis-kunjungi-geopark-ciletuh-selama-libur-lebaran,0.7,0.88,0.71,0.8,1
beritasatu,https://www.beritasatu.com/video-berita/497389/menikmati-mandi-air-panas-di-geopark-ciletuh,0.66,0.77,0,0.8,1
beritasatu,https://www.beritasatu.com/rehat/493145/unesco-terbitkan-sertifikat-untuk-geopark-ciletuh,0.66,0.82,0.71,0.8,1
beritasatu,https://www.beritasatu.com/nasional/488727/ciletuh-dan-rinjani-jadi-geopark-dunia,0.7,0.92,0.66,0.72,1
beritasatu,https://www.beritasatu.com/saujana/486773/festival-hari-nelayan-pelabuanratu-ke58-sukses,0.27,0.88,0.76,0.81,1
beritasatu,https://www.beritasatu.com/ekonomi/486491/menhub-targetkan-pelabuhan-ratu-beroperasi-2019,0.27,0.84,0.27,0.37,1
cnnindonesia,https://www.cnnindonesia.com/teknologi/20190201173709-384-365784/menggoyang-xpander-dari-jakarta-sampai-geopark-ciletuh,0.66,0.89,0.26,0.26,1
cnnindonesia,https://www.cnnindonesia.com/nasional/20200220140930-20-476472/longsor-terjang-ciawi-bogor-4-warga-tewas,0.24,0.8,0,0,1
cnnindonesia,https://www.cnnindonesia.com/nasional/20200217102157-20-475263/banjir-dan-longsor-kepung-akses-geopark-ciletuh-sukabumi,0.75,0.89,0.71,0.79,1
cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20181223194113-269-355946/menjaga-denyut-teluk-ciletuh-lewat-konservasi-dan-budidaya,0.4,0.97,0.48,0.79,1
cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20181218154222-269-354582/manfaatkan-homestay-saat-libur-akhir-tahun-di-geopark-ciletuh,0.66,0.85,0.72,0.79,1
