No,Tahun,Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
19,2019,antaranews,https://www.antaranews.com/berita/1101124/vokasi-ui-berdayakan-masyarakat-di-geopark-gunung-pongkor,0.51,0.64,0.0,0.57,0,,,,,
21,2019,antaranews,https://www.antaranews.com/berita/1050906/taman-bumi-gunungsewu-pertahankan-keanggotaan-di-unesco-global-geopark,0.58,0.61,0.54,0.87,0,,,,,
23,2019,antaranews,https://www.antaranews.com/berita/815290/antam-kembangkan-taman-buah-nusantara-di-bogor,0.16,0.66,0.16,0.16,0,,,,,
73,2019,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190106104003-269-358766/tersasar-di-geopark-pongkor,0.51,0.66,0.55,0.61,0,,,,,
109,2019,cnnindonesia,https://www.cnnindonesia.com/ekonomi/20190131162425-85-365461/pertamina-gandeng-perusahaan-italia-kembangkan-bbm-ramah-alam,0.0,0.0,0.0,0.16,0,,,,,
116,2019,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20191010143552-269-438418/kalahkan-italia-indonesia-destinasi-wisata-terbaik,0.2,0.2,0.2,0.0,0,,,,,
123,2019,inews,https://www.inews.id/travel/destinasi/menelusuri-keindahan-alam-dan-adat-warga-sijunjung,0.0,0.58,0.51,0.89,0,,,,,
252,2019,liputan6,https://www.liputan6.com/news/read/3926187/antam-kembangkan-taman-buah-nusantara-di-bogor,0.16,0.66,0.0,0.0,0,,,,,
262,2019,liputan6,https://www.liputan6.com/news/read/4111798/kemenpar-gelar-fgd-penyusunan-master-plan-geopark-banyuwangi,0.51,0.57,0.0,0.28,0,,,,,
268,2019,mediaindonesia,https://mediaindonesia.com/read/detail/235432-masih-ada-penambangan-liar-bupati-bogor-mengaku-kecolongan,0.0,0.6,0.0,0.0,0,,,,,
270,2019,mediaindonesia,https://mediaindonesia.com/read/detail/253594-bergerak-bersama-untuk-wisata,0.2,0.66,0.25,0.0,0,,,,,
306,2019,okezone,https://lifestyle.okezone.com/read/2019/06/13/406/2066187/promosikan-natuna-sebagai-kawasan-wisata-geopark-nasional-sail-to-natuna-pukau-wisman,0.55,0.6,0.55,0.8,0,,,,,
307,2019,okezone,https://news.okezone.com/read/2019/03/26/1/2035018/kembangkan-taman-buah-nusantara-antam-tingkatkan-perekonomian-masyarakat-bogor,0.16,0.66,0.55,0.78,0,,,,,
312,2019,okezone,https://lifestyle.okezone.com/read/2019/02/09/406/2015652/yuk-intip-5-keindahan-pulau-belitung-yang-menakjubkan,0.0,0.57,0.2,0.57,0,,,,,
402,2019,radarsukabumi,https://radarsukabumi.com/berita-utama/pemprov-kepincut-wisata-hanjeli/2/,0.2,0.6,0.5,0.5,0,,,,,
447,2019,republika,https://republika.co.id/berita/po78yq459/geowisata-jadi-sarana-edukasi-bencana,0.0,0.61,0.51,0.95,0,,,,,
574,2019,tempo,https://travel.tempo.co/read/1245650/unesco-gunung-sewu-masih-sandang-status-geopark-dunia,0.54,0.62,0.54,0.89,0,,,,,
576,2019,tempo,https://travel.tempo.co/read/1229068/unesco-pantau-pengelolaan-geopark-gunung-sewu,0.54,0.57,0.54,0.92,0,,,,,
580,2019,tempo,https://metro.tempo.co/read/1205687/bupati-bogor-akui-kewalahan-mengawasi-gurandil,0.0,0.55,0.0,0.3,0,,,,,
630,2019,tribunnews,https://travel.tribunnews.com/2019/07/09/7-taman-nasional-di-indonesia-yang-masuk-situs-warisan-unesco,0.22,0.22,0.16,0.33,0,,,,,
631,2019,tribunnews,https://www.tribunnews.com/travel/2019/04/23/badan-pengelola-geopark-pongkor-dikukuhkan-ade-yasin-untuk-branding-the-city-of-sport-and-tourism,0.51,0.62,0.0,0.25,0,,,,,
632,2019,tribunnews,https://bali.tribunnews.com/2019/11/15/dukung-pengembangan-geopark-banyuwangi-kemenparekraf-susun-master-plan-bareng-pemkab?page=3,0.51,0.54,0.0,0.35,0,,,,,
1,2019,antaranews,https://www.antaranews.com/berita/943420/pemprov-jabar-percepat-pembangunan-amphitheater-geopark-ciletuh,0.8,0.98,0.8,0.98,1,,,,,
7,2019,antaranews,https://www.antaranews.com/berita/1209759/perum-jamkrindo-tanam-ratusan-pohon-di-kawasan-geopark-ciletuh,0.76,0.98,0.82,0.98,1,,,,,
8,2019,antaranews,https://www.antaranews.com/video/1031836/surga-wisata-geopark-ciletuh-palabuhan-ratu,0.85,0.98,0.54,0.57,1,,,,,
9,2019,antaranews,https://www.antaranews.com/berita/974132/pelaku-usaha-geopark-ciletuh-sukabumi-dapat-pelatihan-keuangan,0.85,0.98,0.85,0.98,1,,,,,
20,2019,antaranews,https://www.antaranews.com/berita/986164/jokowi-dorong-taman-bumi-kaldera-toba-diakui-unesco,0.27,0.84,0.0,0.39,1,,,,,
22,2019,antaranews,https://www.antaranews.com/berita/1197308/pemkab-bogor-undang-menteri-dan-13-kepala-daerah-bahas-perbatasan,0.0,0.89,0.0,0.35,1,,,,,
46,2019,beritasatu,https://www.beritasatu.com/nasional/571481/sekda-sukabumi-pengembangan-geopark-ciletuh-butuh-bantuan-pusat,0.85,0.96,0.85,0.85,1,,,,,
47,2019,beritasatu,https://www.beritasatu.com/mobil/536582/menjajal-keandalan-xenia-1500-cc-di-tanjakan-ekstrem-geopark-ciletuh,0.76,0.94,0.76,0.85,1,,,,,
72,2019,cnnindonesia,https://www.cnnindonesia.com/gaya-hidup/20190417135248-269-387195/tahun-ini-kelimutu-mendaftar-sebagai-geopark-nasional,0.51,0.87,0.51,0.61,1,,,,,
117,2019,inews,https://www.inews.id/travel/destinasi/wisata-pelabuhanratu-sambil-jelajahi-hutan-di-kawasan-geopark-ciletuh,0.85,0.91,0.76,0.9,1,,,,,
118,2019,inews,https://www.inews.id/travel/destinasi/jelajahi-geopark-ciletuh-yang-mendunia-ada-taman-purba-dan-alluvial,0.77,0.91,0.76,0.89,1,,,,,
119,2019,inews,https://www.inews.id/travel/destinasi/potensi-geopark-indonesia-dipromosikan-di-markas-unesco-paris,0.54,0.92,0.54,0.91,1,,,,,
126,2019,inews,https://www.inews.id/travel/destinasi/ujung-kulon-diajukan-ke-unesco-menjadi-geopark-dunia,0.54,0.83,0.2,0.25,1,,,,,
130,2019,jpnn,https://www.jpnn.com/news/geopark-ciletuh-palabuhanratu-sepi-pengunjung-ini-penyebabnya,0.82,0.96,0.91,0.94,1,,,,,
131,2019,jpnn,https://www.jpnn.com/news/sentral-geopark-ciletuh-pemkab-sukabumi-geser-kantor-pemerintahan-ke-palabuhanratu,0.91,0.56,0.93,0.98,1,,,,,
132,2019,jpnn,https://www.jpnn.com/news/bocah-6-tahun-tenggelam-di-sungai-geopark-ciletuh,0.76,0.96,0.82,0.96,1,,,,,
133,2019,jpnn,https://www.jpnn.com/kemenkumham/news/bea-cukai-bogor-lirik-potensi-kabupaten-sukabumi,0.39,0.99,0.39,0.52,1,,,,,
138,2019,jpnn,https://www.jpnn.com/news/perum-jamkrindo-jalin-kerja-sama-dengan-pemkab-sukabumi,0.39,0.96,0.76,0.94,1,,,,,
143,2019,jpnn,https://www.jpnn.com/news/sentral-geopark-ciletuh-pemkab-sukabumi-geser-kantor-pemerintahan-ke-palabuhanratu?page=2,0.91,0.85,0.93,0.98,1,,,,,
146,2019,kontan,https://keuangan.kontan.co.id/news/kampanye-anti-sampah-plastik-jamkrindo-mulai-berdayakan-masyarakat-kawasan-ciletuh?page=all,0.56,0.99,0.0,0.0,1,,,,,
154,2019,kumparan,https://kumparan.com/kumparantravel/pemkab-sukabumi-diminta-fokus-kembangkan-geopark-ciletuh-1sE5g72DOdC,0.85,0.98,0.87,0.92,1,,,,,
156,2019,kumparan,https://kumparan.com/kumparanoto/menikmati-alam-geopark-ciletuh-dengan-wuling-almaz-1552021476560854364,0.76,0.85,0.76,0.92,1,,,,,
157,2019,kumparan,https://kumparan.com/sukabumi-update/bangkai-paus-dikubur-di-pesisir-pantai-geopark-ciletuh-1rLPpySg67d,0.76,0.85,0.85,0.92,1,,,,,
